epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,967.381,1.24685,2.36355,1.55733,0.69212,0.22862,0.18369,0.0815,1.69956,2.91532,1.89036,0.000554278,0.000554278,0.000554278
2,2074.01,1.30779,1.99053,1.5751,0.6489,0.27811,0.13334,0.05525,1.88448,2.47259,2.0924,0.00108797,0.00108797,0.00108797
3,3061.61,1.29432,1.87797,1.55667,0.73303,0.28815,0.23131,0.11299,1.79793,2.31151,1.89306,0.00159965,0.00159965,0.00159965
4,4051.36,1.24842,1.80222,1.52369,0.76513,0.32225,0.23558,0.11779,1.76985,2.10513,1.8381,0.00156798,0.00156798,0.00156798
5,5005.05,1.21748,1.76674,1.51291,0.77626,0.33667,0.26106,0.14206,1.54326,2.05057,1.63294,0.00153497,0.00153497,0.00153497
