epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2755.68,2.6729,1.57915,2.03876,0.47124,0.35529,0.31977,0.11199,2.50683,1.77409,1.88479,0.0072694,0.0072694,0.0072694
43,2819.48,2.63359,1.54863,1.99401,0.40014,0.36471,0.30726,0.1022,2.58922,1.58673,1.90908,0.0072028,0.0072028,0.0072028
44,2877.65,2.62022,1.56703,1.95774,0.37789,0.37176,0.31191,0.10897,2.56175,1.81817,1.87059,0.0071362,0.0071362,0.0071362
45,2938.48,2.67989,1.58159,2.00753,0.3739,0.37882,0.327,0.12186,2.43154,1.45263,1.81391,0.0070696,0.0070696,0.0070696
46,2993.85,2.65187,1.5572,2.03116,0.3829,0.40235,0.33083,0.12408,2.47196,1.47814,1.82493,0.007003,0.007003,0.007003
47,3048.86,2.63938,1.48464,1.98075,0.42349,0.42118,0.36555,0.13117,2.45946,1.59733,1.81913,0.0069364,0.0069364,0.0069364
48,3104.31,2.60063,1.51005,1.98356,0.35333,0.40471,0.32951,0.11858,2.58174,1.72977,1.92915,0.0068698,0.0068698,0.0068698
49,3160.15,2.57379,1.52481,1.94782,0.42428,0.41963,0.36302,0.12492,2.39443,1.61378,1.78178,0.0068032,0.0068032,0.0068032
50,3215.62,2.57443,1.49062,1.95105,0.35954,0.32,0.25807,0.08985,2.60053,1.67556,1.84292,0.0067366,0.0067366,0.0067366
51,3271,2.61799,1.54127,1.97175,0.41496,0.36,0.30321,0.10643,2.50347,1.71252,1.83177,0.00667,0.00667,0.00667
52,3341.47,2.57527,1.55406,1.94601,0.37649,0.41882,0.33053,0.13508,2.33094,1.34733,1.74697,0.0066034,0.0066034,0.0066034
53,3402.8,2.51948,1.49947,1.89964,0.45513,0.39529,0.37087,0.12665,2.43217,1.48393,1.79842,0.0065368,0.0065368,0.0065368
54,3461.85,2.55981,1.49687,1.968,0.34781,0.37882,0.31979,0.11219,2.49483,1.43968,1.8504,0.0064702,0.0064702,0.0064702
55,3521.21,2.54415,1.51489,1.94338,0.50918,0.41412,0.40075,0.14268,2.49533,1.42396,1.76741,0.0064036,0.0064036,0.0064036
56,3580.67,2.55386,1.53242,1.91708,0.42949,0.44639,0.37174,0.13113,2.45963,1.66761,1.75336,0.006337,0.006337,0.006337
