epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,990.114,1.63214,2.44955,1.75974,0.50373,0.01209,0.00179,0.00045,3.65628,8.25268,4.09515,0.07015,0.00331667,0.00331667
2,2125.43,1.68128,2.3563,1.8087,0.5069,0.03567,0.00442,0.00106,3.55096,4.33062,4.23511,0.0400183,0.00651833,0.00651833
3,3456.28,1.57766,2.18712,1.71397,0.65732,0.22733,0.11348,0.04325,2.27181,2.98244,2.5941,0.00975466,0.00958799,0.00958799
4,4416.16,1.44965,2.05142,1.62206,0.62281,0.22551,0.0823,0.02916,2.18197,2.81399,2.46377,0.009406,0.009406,0.009406
5,5402.55,1.36257,1.91569,1.54137,0.52017,0.04232,0.02007,0.00767,2.29207,3.39519,2.7324,0.009208,0.009208,0.009208
